16:54:05 INFO  : Registering command handlers for SDK TCF services
16:54:06 INFO  : Launching XSCT server: xsct.bat -interactive C:\Users\HWSW\Documents\project_2\project_2.sdk\temp_xsdb_launch_script.tcl
16:54:09 INFO  : XSCT server has started successfully.
16:54:09 INFO  : Successfully done setting XSCT server connection channel  
16:54:09 INFO  : Successfully done setting SDK workspace  
16:54:09 INFO  : Processing command line option -hwspec C:/Users/HWSW/Documents/project_2/project_2.sdk/design_1_wrapper.hdf.
17:01:40 INFO  : Inferring section assignments and sizes from elf file: C:\Users\HWSW\Documents\project_2\project_2.sdk\poj1\Debug\poj1.elf
17:02:16 INFO  : Inferring section assignments and sizes from elf file: C:\Users\HWSW\Documents\project_2\project_2.sdk\poj1\Debug\poj1.elf
17:02:35 INFO  : Successfully generated C:\Users\HWSW\Documents\project_2\project_2.sdk\poj1\src\lscript.ld.
17:02:35 INFO  : Applying linker script to all configurations of project poj1.
17:02:35 INFO  : Setting rebuild state to true for all configurations of project poj1.
17:03:42 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
17:03:45 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Zybo 210279760322A" && level==0} -index 1' command is executed.
17:03:46 INFO  : FPGA configured successfully with bitstream "C:/Users/HWSW/Documents/project_2/project_2.sdk/design_1_wrapper_hw_platform_0/design_1_wrapper.bit"
17:04:56 WARN  : Given IPC port value is invalid. Using default port 2350
17:04:56 WARN  : Given XMD timeout value is invalid. Using default value of 50000
17:04:58 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
17:04:58 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
17:05:00 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
17:05:00 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
17:05:00 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
17:05:01 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
17:05:01 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
17:05:01 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
